"Grade","Row","Section","Attendance","Score"
"P",5,"B1","Low",90
"F",6,"B2","Medium",47
"P",6,"A3","Medium",93
"F",4,"B3","Medium",13
"P",2,"B2","Low",76
"P",1,"B3","Low",50
"F",5,"B3","High",37
"F",1,"A1","Medium",28
"F",8,"A1","Low",31
"F",3,"B3","High",24
"P",5,"B1","Low",66
"P",3,"B3","Low",56
"F",1,"B3","Medium",8
"F",6,"B2","Low",39
"F",7,"B2","High",43
"P",4,"A2","Medium",96
"F",4,"A2","Medium",23
"P",2,"B2","Medium",89
"P",4,"A2","Low",81
"F",6,"A3","Low",11
"F",3,"B1","Medium",9
"P",7,"B2","High",67
"P",6,"B3","Medium",83
"F",2,"B1","Medium",14
"F",5,"A3","High",56
"P",7,"A2","High",62
"F",8,"A1","Low",1
"F",2,"A1","High",55
"P",6,"A3","Low",60
"F",7,"A1","High",23
"P",6,"A2","High",96
"F",2,"B2","High",7
"F",4,"B1","High",2
"F",8,"A2","High",22
"P",1,"A3","Medium",72
"P",1,"A3","High",74
"F",3,"A2","High",24
"P",3,"B1","Medium",61
"P",5,"B1","High",78
"F",4,"B1","Low",33
"P",7,"A1","Low",95
"P",3,"B1","Medium",65
"F",4,"B2","High",41
"F",7,"A2","High",34
"P",3,"A2","High",60
"F",7,"B3","Medium",42
"F",2,"A1","Medium",56
"P",7,"B3","High",82
"P",6,"A1","Medium",50
"F",7,"B3","High",46
"P",4,"A1","Low",60
"P",8,"B1","Medium",93
"P",2,"A2","Medium",67
"F",5,"A1","Medium",24
"P",5,"A1","Medium",91
"F",7,"B2","Medium",17
"P",6,"B1","Low",86
"P",5,"B2","High",56
"F",5,"B2","High",35
"P",3,"B3","High",96
"P",3,"B2","High",54
"P",7,"A2","High",91
"F",5,"A3","Medium",54
"P",5,"B2","High",67
"P",6,"B3","Medium",92
"F",6,"A1","Low",42
"F",6,"B1","Medium",17
"F",4,"B2","Medium",24
"P",5,"B2","High",71
"P",2,"A2","Medium",95
"P",4,"B3","High",86
"F",8,"A1","Low",9
"P",1,"A1","Low",75
"F",3,"B3","Medium",11
"F",5,"B1","Medium",19
"F",6,"B1","High",26
"P",5,"B3","High",61
"F",2,"A1","Medium",48
"P",4,"B2","High",61
"P",8,"A2","Medium",61
"F",6,"A2","Medium",27
"F",7,"B3","Medium",35
"F",4,"B3","High",49
"F",4,"A1","High",6
"F",2,"A1","Medium",5
"F",8,"B1","Medium",8
"F",6,"A2","Low",32
"F",2,"A3","High",8
"P",8,"A3","High",79
"F",3,"B3","Medium",24
"F",8,"A2","Low",37
"F",3,"A2","Low",44
"F",8,"B2","Low",20
"P",6,"A1","Medium",67
"P",4,"B2","Low",76
"F",3,"A2","Medium",22
"P",7,"A1","High",62
"P",4,"B3","Medium",62
"F",8,"A3","Medium",38
"F",6,"B2","High",22
"F",2,"A3","Medium",57
"P",3,"B1","High",91
"P",7,"A2","High",83
"F",6,"A3","High",20
"F",3,"B2","High",10
"P",6,"B3","Medium",69
"F",7,"A3","Medium",28
"F",5,"A1","Medium",31
"P",3,"A2","Low",54
"P",4,"A2","High",82
"F",7,"A3","High",34
"F",4,"B2","Low",4
"F",6,"A3","Low",28
"F",2,"A2","Medium",37
"F",6,"A3","High",21
"F",4,"A3","High",31
"F",6,"A2","Low",38
"F",4,"A3","Low",14
"F",3,"B1","Medium",43
"F",3,"A3","High",20
"P",3,"B1","High",61
"F",7,"B3","High",37
"P",4,"A3","High",63
"F",8,"B1","Medium",29
"P",3,"A3","High",84
"F",7,"A1","Medium",24
"F",5,"B3","Medium",42
"P",4,"B2","Low",78
"P",2,"A1","High",72
"F",8,"A1","Low",8
"F",5,"B1","Medium",21
"F",4,"A2","Low",2
"P",8,"A1","Medium",83
"F",7,"A2","High",47
"F",1,"A1","Low",34
"F",6,"A1","High",24
"P",5,"A3","High",70
"P",8,"A1","High",76
"P",6,"A3","Low",89
"F",2,"A3","Medium",37
"F",4,"A3","Low",26
"F",7,"B3","Low",44
"P",8,"B2","Low",82
"P",7,"A1","High",75
"P",7,"B1","Low",92
"P",7,"A3","Medium",78
"F",8,"B1","Low",43
"F",7,"A1","High",1
"P",7,"B2","Low",94
"F",7,"B3","Low",54
"F",2,"A3","High",40
"P",4,"B1","High",50
"F",5,"A2","Low",39
"F",6,"B3","Low",1
"P",2,"A3","Medium",60
"P",5,"A2","High",97
"P",2,"B3","Medium",59
"P",1,"A1","Medium",97
"F",2,"A3","High",11
"F",3,"A3","High",23
"P",8,"A2","Medium",88
"P",3,"B1","Medium",94
"P",4,"A2","Low",98
"P",2,"B3","Medium",96
"F",2,"B1","Low",22
"F",1,"B2","Low",22
"F",8,"A1","Medium",32
"F",7,"A1","Low",7
"F",1,"A3","Medium",30
"P",7,"A3","High",94
"P",4,"B3","Low",74
"F",2,"B2","Medium",40
"F",3,"B1","Low",21
"F",6,"A3","Low",59
"P",3,"B2","Medium",96
"F",4,"A3","High",42
"F",3,"A1","Low",14
"F",5,"B1","Medium",35
"P",5,"B1","Medium",84
"F",3,"A3","Low",7
"P",5,"A3","Medium",61
"P",6,"A3","Medium",87
"P",6,"A3","High",91
"F",1,"B2","Medium",29
"P",2,"B2","High",52
"F",2,"B1","High",34
"F",6,"B2","High",36
"P",2,"B2","Medium",76
"P",6,"A3","High",66
"P",2,"B2","Low",75
"F",6,"A2","Medium",15
"P",4,"A1","High",72
"F",7,"A3","Low",30
"F",4,"B3","Low",38
"F",3,"B2","Low",5
"P",2,"B2","Medium",77
"P",2,"B2","Medium",84
"P",6,"B2","Low",96
"F",1,"B3","Medium",45
"F",5,"A2","Low",39
"P",5,"B3","Low",72
"F",6,"A2","Medium",34
"P",6,"B3","High",69
"P",7,"B2","High",73
"P",4,"A1","Low",80
"P",8,"A1","High",60
"F",7,"A3","High",56
"F",4,"A1","Medium",54
"F",7,"A2","Low",46
"P",8,"B3","Low",97
"F",6,"A2","Medium",2
"F",2,"A3","Low",57
"F",3,"A1","Medium",41
"F",3,"B1","High",26
"P",2,"B1","Medium",91
"P",4,"B1","High",93
"P",1,"B2","Medium",76
"P",3,"A1","High",99
"P",5,"B1","Medium",87
"F",6,"B2","High",2
"P",6,"A3","Low",74
"F",2,"A3","High",44
"F",1,"B1","Low",36
"F",2,"A2","High",11
"F",2,"A2","Medium",49
"F",7,"B3","Medium",44
"P",3,"A1","Medium",72
"F",5,"A1","Medium",24
"F",7,"A3","Low",33
"P",6,"A3","High",62
"P",1,"A3","High",64
"F",3,"A2","Low",6
"P",2,"A3","Low",95
"P",4,"A2","High",91
"P",7,"B2","Medium",61
"F",6,"A1","High",3
"P",2,"B3","Low",84
"F",6,"B1","Medium",36
"P",6,"B2","High",83
"F",7,"B3","Low",28
"F",3,"B2","Low",4
"P",2,"B1","Low",55
"P",8,"A1","Medium",73
"P",5,"A1","Low",98
"F",4,"B2","High",38
"F",5,"B3","High",5
"F",7,"B2","Medium",8
"P",6,"B3","Medium",73
"F",7,"B3","High",8
"P",3,"B1","High",79
"P",8,"B3","Medium",78
"F",7,"A2","Medium",45
"F",2,"A3","Low",27
"F",6,"B3","Medium",34
"P",5,"A3","Medium",99
"F",7,"A1","Medium",41
"P",3,"B2","Medium",60
"F",5,"A2","Low",35
"F",3,"A1","High",30
"P",5,"A1","High",50
"P",6,"B3","Medium",72
"P",5,"A1","Low",66
"P",6,"A3","High",72
"P",7,"A3","Low",97
"F",5,"A1","Medium",4
"F",8,"B3","Low",44
"P",3,"B2","High",82
"F",3,"B3","Low",11
"P",7,"A3","Medium",68
"F",6,"A3","Medium",43
"F",3,"A1","Medium",35
"F",4,"B1","Medium",38
"F",7,"A2","Low",4
"P",5,"A2","Low",55
"P",7,"A3","Low",87
"P",8,"B2","Medium",86
"F",4,"B1","High",35
"F",6,"B2","Medium",43
"F",2,"B3","Medium",20
"F",4,"B1","High",21
"F",2,"B2","Medium",5
"F",2,"A3","Medium",5
"F",1,"A2","High",44
"F",6,"B1","Low",26
"F",3,"B1","Low",29
"P",2,"A3","Low",77
"P",1,"B2","High",60
"F",2,"A1","High",14
"P",2,"A2","Low",61
"P",2,"A2","Medium",85
"F",6,"A2","Medium",37
"F",3,"A2","High",38
"P",2,"A2","Low",67
"F",5,"A2","Low",42
"F",3,"B1","Low",48
"P",5,"A1","High",98
"F",5,"A1","High",12
"P",7,"A1","High",78
"P",5,"A2","High",95
"F",6,"A2","High",46
"P",3,"B3","High",64
"P",2,"A1","High",81
"P",4,"B1","Low",86
"P",4,"B1","High",93
"F",6,"A1","Medium",15
"P",4,"B1","Low",91
"F",7,"B3","Low",56
"P",3,"B3","Medium",76
"P",1,"A1","High",64
"F",4,"A1","Low",36
"P",1,"B2","Low",56
"F",5,"A3","High",44
"F",5,"A3","Low",55
"P",6,"B3","Low",87
"F",7,"B3","High",56
"P",6,"A2","Low",72
"F",3,"B1","High",10
"P",1,"B2","Medium",53
"F",5,"B1","High",6
"F",7,"B2","High",22
"P",6,"B3","Low",65
"F",5,"A1","Medium",49
"F",1,"B3","Medium",32
"F",3,"A3","Medium",11
"P",6,"B1","Low",99
"F",7,"A3","High",12
"F",5,"A2","Medium",8
"F",7,"B1","Medium",14
"F",4,"B2","Medium",8
"P",2,"A1","High",76
"P",2,"A3","High",98
"F",4,"A3","Medium",4
"F",3,"A1","Medium",24
"P",4,"B3","Medium",62
"P",2,"A2","Low",66
"P",2,"B2","Low",78
"F",3,"B3","Low",21
"P",7,"B2","Medium",92
"F",8,"A3","Low",37
"F",6,"A3","Medium",35
